ID,Name,Sex,Team,NOC,Sport,Age,Height,Weight,Games,Year,Season,City,Event,Medal
1466,Matteo Aicardi,M,Italy,ITA,Water Polo,2,2,2,2,2,2,2,2,2
1467,Mara Magdalena Aicega Amicarelli,F,Argentina,ARG,Hockey,3,3,3,3,3,3,3,3,3
1469,Hans Aichele,M,Switzerland-1,SUI,Bobsleigh,1,0,0,1,1,1,1,1,1
1478,Rosaria Aiello,F,Italy,ITA,Water Polo,1,1,1,1,1,1,1,1,1
1480,Franz Aigner,M,Austria,AUT,Weightlifting,1,0,1,1,1,1,1,1,1
1481,Hannes Aigner,M,Germany,GER,Canoeing,1,1,1,1,1,1,1,1,1
1483,Nobuyuki Aihara,M,Japan,JPN,Gymnastics,4,4,4,4,4,4,4,4,4
1485,Yutaka Aihara,M,Japan,JPN,Gymnastics,1,1,1,1,1,1,1,1,1
1487,Ryoji Aikawa,M,Japan,JPN,Baseball,1,1,1,1,1,1,1,1,1
1489,Alexander Michael Hirst Aikman,M,Australia,AUS,Rowing,1,0,0,1,1,1,1,1,1
1498,"Charles Benedict ""Ben"" Ainslie",M,Great Britain,GBR,Sailing,5,5,5,5,5,5,5,5,5
1500,Kurt Harold Ainsworth,M,United States,USA,Baseball,1,1,1,1,1,1,1,1,1
1503,John Creyghton Ainsworth-Davis,M,Great Britain,GBR,Athletics,1,0,0,1,1,1,1,1,1
1512,Robin Allingham Aisher,M,Great Britain,GBR,Sailing,1,1,1,1,1,1,1,1,1
1530,"Gordon ""Gord"" Aitchison",M,Canada,CAN,Basketball,1,0,0,1,1,1,1,1,1
1531,Frances Helen Aitchison (-Leisk),F,Great Britain-1,GBR,Tennis,1,0,0,1,1,1,1,1,1
1534,Brett Aitken,M,Australia,AUS,Cycling,3,3,3,3,3,3,3,3,3
1538,Vladimir Atoff,M,Union des Socits Franais de Sports Athletiques,FRA,Rugby,1,0,0,1,1,1,1,1,1
1540,Artur Surenovych Aivazian,M,Ukraine,UKR,Shooting,1,1,1,1,1,1,1,1,1
1546,Eirini Andili,F,Greece,GRE,Rhythmic Gymnastics,1,1,1,1,1,1,1,1,1
1551,"Oluwafemi ""Junior"" Ajayi",M,Nigeria,NGR,Football,1,1,1,1,1,1,1,1,1
1554,Omar Ajete Iglesias,M,Cuba,CUB,Baseball,3,3,3,3,3,3,3,3,3
1556,"Ebenezer Oluwafemi ""Femi"" Ajilore",M,Nigeria,NGR,Football,1,1,1,1,1,1,1,1,1
1561,Mobolade Abimbola Ajomale,M,Canada,CAN,Athletics,1,1,1,1,1,1,1,1,1
1564,Chioma Ajunwa (-Opara),F,Nigeria,NGR,Athletics,1,1,1,1,1,1,1,1,1
1569,Kriss Kezie Uche Chukwu Duru Akabusi,M,Great Britain,GBR,Athletics,3,3,3,3,3,3,3,3,3
1574,Kosei Akaishi,M,Japan,JPN,Wrestling,2,2,2,2,2,2,2,2,2
1579,Nasuh Akar,M,Turkey,TUR,Wrestling,1,0,0,1,1,1,1,1,1
1581,Yuichi Akasaka,M,Japan,JPN,Short Track Speed Skating,1,1,1,1,1,1,1,1,1
1595,Hseyin Akba,M,Turkey,TUR,Wrestling,0,2,2,2,2,2,2,2,2
1601,Vehbi Akda,M,Turkey,TUR,Wrestling,1,1,1,1,1,1,1,1,1
1618,Ernst Gunnar kerlund,M,Sweden,SWE,Canoeing,2,0,0,2,2,2,2,2,2
1619,Olle Erik Curys kerlund,M,Bissbi,SWE,Sailing,1,0,0,1,1,1,1,1,1
1622,Michelle Anne Akers,F,United States,USA,Football,1,1,1,1,1,1,1,1,1
1634,Taha Akgl,M,Turkey,TUR,Wrestling,1,1,1,1,1,1,1,1,1
1637,Yelena Rabigovna Akhaminova (-Sokolovskaya),F,Soviet Union,URS,Volleyball,1,1,1,1,1,1,1,1,1
1639,Albina Khamitovna Akhatova,F,Russia,RUS,Biathlon,5,5,5,5,5,5,5,5,5
1647,Murodzhon Kakharovich Akhmadaliyev,M,Uzbekistan,UZB,Boxing,1,1,1,1,1,1,1,1,1
1649,Artur Kamilevich Akhmatkhuzin,M,Russia,RUS,Fencing,1,1,1,1,1,1,1,1,1
1650,Bakhtiyar Shakhabutdinovich Akhmedov,M,Russia,RUS,Wrestling,1,1,1,1,1,1,1,1,1
1652,Lyutvi Dzhiber Akhmedov,M,Bulgaria,BUL,Wrestling,1,1,1,1,1,1,1,1,1
1654,Leyla Begnyazovna Akhmerova,F,Soviet Union,URS,Hockey,1,1,1,1,1,1,1,1,1
1659,Igor Vladimirovich Akhremchik,M,Soviet Union,URS,Rowing,1,1,1,1,1,1,1,1,1
1662,Gulraiz Akhtar,M,Pakistan,PAK,Hockey,1,1,1,1,1,1,1,1,1
1665,Naeem Akhtar,M,Pakistan,PAK,Hockey,1,1,1,1,1,1,1,1,1
1673,John Akii-Bua,M,Uganda,UGA,Athletics,1,1,1,1,1,1,1,1,1
1676,Anatoly Ivanovich Akimov,M,Soviet Union,URS,Water Polo,1,1,1,1,1,1,1,1,1
1678,Vladimir Ivanovich Akimov,M,Soviet Union,URS,Water Polo,1,1,1,1,1,1,1,1,1
1682,Morolake Akinosun,F,United States,USA,Athletics,1,1,1,1,1,1,1,1,1
1683,Foluke Antinuke Akinradewo,F,United States,USA,Volleyball,2,2,2,2,2,2,2,2,2
1698,Khadzhimurat Magomedovich Akkayev,M,Russia,RUS,Weightlifting,2,2,2,2,2,2,2,2,2
1700,Marina Dazmirovna Akobiya,F,Russia,RUS,Water Polo,1,1,1,1,1,1,1,1,1
1713,Artur Vladimirovich Akoyev,M,Unified Team,EUN,Weightlifting,1,0,1,1,1,1,1,1,1
1716,Daniel Akpeyi,M,Nigeria,NGR,Football,1,1,1,1,1,1,1,1,1
